PassengerId,Name,HomePlanet,Cabin,Age,Transported
0220_01,Tyle Wilsoney,Earth,G/37/P,2.0,True
0220_02,Wena Wilsoney,Earth,G/37/P,0.0,True
0220_03,Branca Wilsoney,Earth,G/37/P,13.0,False
0220_04,Dont Wilsoney,Earth,E/10/P,25.0,False
0220_05,Velyne Wilsoney,Earth,F/48/P,16.0,False
0220_06,Weney Wilsoney,Earth,G/37/P,1.0,False
0220_07,Guye Wilsoney,Earth,G/37/P,15.0,True
0221_01,Cowhex Blan,Mars,E/13/S,21.0,False
0221_02,Yogark Reke,Mars,E/13/S,23.0,False
0221_03,Jacks Reke,Mars,E/13/S,33.0,False
0221_04,Eerch Reke,Mars,E/13/S,21.0,True
0221_05,Panbug Reke,Mars,E/13/S,41.0,False
0221_06,Gran Reke,Mars,E/13/S,16.0,False
0221_07,Rohs Reke,Mars,E/13/S,42.0,False
0222_01,Gone Perte,Mars,F/41/S,20.0,False
0222_02,Colf Deva,Mars,F/41/S,24.0,True
0222_03,Grake Perte,Mars,E/14/S,16.0,True
0223_01,Evan Sykess,Earth,G/35/S,21.0,False
0224_01,Blues Queen,Mars,F/42/S,32.0,False
0225_01,Carly Hortis,Earth,G/38/P,58.0,True
0229_01,Done Sellahaney,Earth,F/43/S,24.0,False
0231_01,Krus Nate,Mars,F/44/S,30.0,False
0232_01,Nica Bakerrison,Earth,G/36/S,27.0,False
0233_01,Teda Wist,Mars,F/45/S,32.0,False
0234_01,Keitha Josey,Earth,F/50/P,43.0,False
0237_01,Weias Aginge,Europa,B/11/P,42.0,True
0239_01,Diedow Resty,Mars,,37.0,False
0240_01,Puffes Crie,Mars,F/52/P,35.0,True
0241_01,Alas Dischod,Europa,E/11/P,33.0,False
0242_01,Almone Sté,,F/46/S,18.0,False
0243_01,Lilace Cartyernan,Earth,G/37/S,21.0,False
0244_01,Froos Sad,Mars,,43.0,True
0244_02,Tous Sad,Mars,F/47/S,14.0,True
0245_01,Glueba Repumparte,Europa,C/6/P,46.0,True
0245_02,Anchib Repumparte,Europa,C/6/P,33.0,False
0246_01,Mele Sesa,Mars,D/8/P,21.0,False
0248_01,Genifi Spanxibus,Europa,C/10/S,33.0,False
0250_01,Camily Kramosley,Earth,G/38/S,47.0,False
0251_01,Diphah Amsive,,C/11/S,54.0,True
0252_01,Leenny Byerry,Earth,F/53/P,30.0,False
0253_01,Dawne Cardner,Earth,G/42/P,29.0,False
0254_01,Race Stenson,Earth,F/54/P,21.0,True
0255_01,Ashir Mingious,Europa,A/3/S,24.0,True
0257_01,Errohs Berte,Mars,F/49/S,21.0,False
0257_02,Squars Berte,Mars,F/49/S,60.0,True
0258_01,Feryla Cooperkins,Earth,F/50/S,22.0,False
0260_01,Segino Inderly,Europa,E/16/S,26.0,False
0261_01,Dord Bookerson,Earth,F/56/P,26.0,False
0263_01,Maen Merkins,Earth,G/43/P,28.0,True
0265_01,Etair Herpumble,Europa,D/8/S,39.0,True
0267_01,Lilace Sancockett,Earth,F/51/S,13.0,False
0269_01,Lerome Polliamposs,Earth,F/52/S,47.0,True
0270_01,Cathya Fryersonis,Earth,F/59/P,63.0,False
0275_01,Terf Obnoble,Europa,D/9/S,,True
0277_01,Byront Mcdanield,Earth,F/61/P,50.0,True
0278_01,Judya Beachez,Earth,,35.0,False
0278_02,Marice Beachez,Earth,G/45/P,45.0,False
0281_01,Derine Pierry,Earth,F/63/P,19.0,True
0282_01,Valex Baketton,Earth,F/54/S,21.0,True
0283_01,Jacky Santin,Earth,G/46/P,29.0,True
0283_02,Roydo Santin,Earth,F/64/P,22.0,True
0285_01,Krabik Invebodene,Europa,E/16/P,14.0,True
0285_02,Grasath Invebodene,Europa,E/16/P,42.0,True
0286_01,Carita Jimes,Earth,F/65/P,57.0,False
0287_01,Tetra Bootty,Europa,,39.0,True
0287_02,Alasym Bootty,Europa,B/12/P,28.0,False
0288_01,Gory Delez,Earth,F/55/S,19.0,False
0289_01,Furuson Objeciane,Europa,C/12/S,19.0,True
0290_01,Skaton Excialing,Europa,B/7/S,26.0,True
0290_02,Algor Excialing,Europa,B/7/S,17.0,True
0290_03,Dhenar Excialing,Europa,B/7/S,43.0,True
0290_04,Atino Excialing,Europa,B/7/S,9.0,True
0291_01,Castab Brakeril,Europa,D/10/S,40.0,True
0294_01,Phonons Roforhauge,Europa,B/8/S,50.0,True
0297_01,Ernice Gardonadox,Earth,G/47/P,24.0,True
0298_01,Ashird Sorbitter,Europa,A/3/P,57.0,True
0301_01,Margia Wriggins,Earth,,16.0,False
0302_01,Lesley Shephendry,Earth,F/67/P,23.0,False
0303_01,Oraryn Kirklander,,G/41/S,23.0,True
0304_01,Betena Ausivetpul,Europa,E/18/S,28.0,False
0305_01,Suhelik Geousker,Europa,C/7/P,23.0,False
0306_01,Dony Estevesters,Earth,E/19/S,23.0,False
0307_01,Natald Hickett,Earth,F/59/S,18.0,True
0309_01,Billya Bowerson,Earth,F/60/S,18.0,False
0310_01,Naviton Coudered,Europa,,67.0,False
0313_01,Briney Mckinsond,Earth,F/68/P,60.0,True
0313_02,Jona Mckinsond,Earth,G/50/P,,True
0313_03,Jaimer Mckinsond,Earth,F/68/P,49.0,True
0313_04,Hary Mckinsond,Earth,G/50/P,0.0,True
0314_01,Kell Kochroeders,Earth,G/51/P,26.0,False
0315_01,Adriet Valezaley,,G/42/S,35.0,True
0316_01,Hallah Sorbitter,Europa,B/9/S,24.0,True
0316_02,Beneba Sorbitter,Europa,B/9/S,20.0,True
0320_01,Breney Bellarkerd,Earth,G/44/S,18.0,False
0320_02,Garley Bellarkerd,Earth,G/44/S,21.0,False
0321_01,Quites Bache,,F/61/S,59.0,False
0322_01,Annya Blange,Earth,G/45/S,13.0,False
0324_01,Carma Hooperez,Earth,G/53/P,43.0,False
0326_01,Charly Edwartizman,Earth,G/47/S,29.0,False
0327_01,Jasony Ocherman,Earth,,19.0,True
0330_01,Bellah Siveduced,Europa,C/14/S,2.0,True
0330_02,,Europa,C/14/S,32.0,True
0330_03,Hekaton Siveduced,Europa,C/14/S,33.0,False
0331_01,Lewise Burchard,Earth,F/72/P,25.0,False
0333_01,Phios Melie,Mars,F/73/P,29.0,True
0334_01,Unfly Mushe,Mars,F/62/S,29.0,False
0336_01,Maura Cookson,Earth,F/74/P,44.0,False
0337_01,Guanch Perle,Mars,F/63/S,2.0,True
0337_02,Weros Perle,Mars,F/63/S,19.0,True
0337_03,,Mars,F/63/S,0.0,True
0338_01,Ireen Guerson,Earth,G/48/S,18.0,True
0340_01,Pentard Poille,Europa,B/10/S,38.0,True
0341_01,Lorian Webstephrey,Earth,G/57/P,5.0,False
0343_01,Meremy Salez,Earth,F/76/P,31.0,False
0345_01,Berios Racke,Mars,E/21/S,30.0,False
0346_01,Lynney Chanan,Earth,G/59/P,15.0,True
0347_01,Cousk Kraie,Mars,F/64/S,27.0,False
0348_01,Stray Mane,Mars,D/12/P,22.0,True
0348_02,Weet Mane,Mars,,36.0,True
0350_01,Loresa Burchanez,Earth,G/60/P,14.0,True
0352_01,Hits Strad,Mars,F/78/P,23.0,False
0355_01,Tricky Warrison,Earth,,18.0,True
0356_01,Pharmus Gloyanthy,Europa,B/15/P,36.0,True
0357_01,Eduard Mcleaney,Earth,F/65/S,41.0,False
0358_01,Ronna Connon,Earth,G/50/S,50.0,True
0358_02,Dandy Connon,Earth,G/50/S,32.0,True
0359_01,Celine Popez,Earth,F/66/S,26.0,False
0360_01,Elancy Staffersby,Earth,F/67/S,15.0,False
0361_01,Virgie Headardyer,Earth,F/68/S,33.0,True
0365_01,Dandra Jacostaney,Earth,G/51/S,,False
0368_01,Resers Perte,Mars,F/82/P,26.0,False
0368_02,Batech Perte,Mars,F/82/P,61.0,True
0369_01,Veroy Pottonalden,Earth,G/53/S,24.0,True
0370_01,Tine Coffmaney,Earth,F/83/P,30.0,False
0371_01,Chrey Dutte,Mars,F/84/P,24.0,True
0372_01,,Earth,F/85/P,24.0,False
0373_01,Billex Mcneiderson,Earth,G/62/P,41.0,False
0375_01,Luzel Vincenton,Earth,E/22/P,20.0,False
0376_01,Francy Spentley,Earth,G/54/S,22.0,True
0377_01,Wezncha Excialing,Europa,C/15/S,63.0,False
0378_01,Bram Pirejus,Europa,B/11/S,18.0,False
0378_02,Marfak Pirejus,Europa,B/11/S,21.0,True
0378_03,Naslon Pirejus,Europa,B/11/S,79.0,False
0378_04,Muonons Pirejus,Europa,B/11/S,56.0,True
0378_05,Polaton Pirejus,Europa,B/11/S,13.0,True
0378_06,Sollum Pirejus,Europa,B/11/S,33.0,False
0378_07,Achib Pirejus,Europa,B/11/S,32.0,True
0379_01,Brita Moodson,Earth,G/63/P,31.0,True
0380_01,Zinopus Fuelddid,Europa,,26.0,True
0381_01,Mesatan Mosteraked,Europa,B/16/P,18.0,True
0381_02,Aston Mosteraked,Europa,B/16/P,38.0,True
0382_01,Blanie Floydendley,,G/64/P,23.0,False
0383_01,Phia Wagnerray,Earth,G/55/S,28.0,False
0383_02,Evane Wagnerray,Earth,G/55/S,34.0,False
0384_01,Cliney Simpsonks,Earth,G/56/S,0.0,True
0384_02,Ellard Simpsonks,Earth,G/56/S,14.0,True
0385_01,Tanley Klinson,Earth,G/65/P,23.0,False
0387_01,Verek Merce,Earth,G/66/P,49.0,False
0388_01,Fanna Sullones,Earth,G/57/S,14.0,False
0389_01,Elanda Savaraldez,Earth,E/23/P,18.0,False
0391_01,Dabik Cowsearney,Europa,C/9/P,27.0,True
0392_01,Ward Carreralend,Earth,E/24/P,48.0,False
0395_01,Meropus Hervel,Europa,B/17/P,31.0,False
0395_02,Hadyon Hervel,Europa,B/17/P,61.0,False
0396_01,Brinez Robins,Earth,G/59/S,18.0,True
0397_01,Graw Mepie,Mars,F/69/S,45.0,True
0398_01,Wales Tité,Mars,D/13/S,22.0,False
0401_01,Luse Pimne,Mars,D/14/S,30.0,False
0401_02,Parney Pimne,Mars,D/14/S,30.0,False
0402_01,Teron Sageng,,D/15/S,32.0,True
0403_01,Push Wate,Mars,D/13/P,43.0,True
0405_01,Denis Flowensley,Earth,F/89/P,17.0,False
0407_01,Dandy Mirez,Earth,G/69/P,23.0,False
0407_02,Luzel Mirez,Earth,F/90/P,20.0,False
0407_03,Dennya Mirez,Earth,G/69/P,39.0,False
0408_01,Cus Ble,Mars,E/25/P,35.0,False
0409_01,Mats Iccle,Mars,F/71/S,31.0,False
0410_01,Tyrona Roachoanand,Earth,F/72/S,21.0,False
0411_01,Benny Rushorney,Earth,F/91/P,16.0,False
0412_01,Baton Quelfly,Europa,C/11/P,60.0,True
0413_01,Elina Steinardson,Earth,F/92/P,18.0,False
0415_01,Iney Pierry,Earth,G/60/S,42.0,False
0417_01,Lesatik Poicaptic,Europa,B/18/P,68.0,True
0417_02,Mirark Unhearfus,Europa,B/18/P,22.0,False
0417_03,Enifik Unhearfus,Europa,B/18/P,59.0,True
0423_01,Syrmark Pumbody,Europa,B/19/P,,True
0425_01,Blesh Fiha,Mars,F/96/P,37.0,False
0425_02,Cowns Fiha,Mars,F/96/P,3.0,True
0425_03,Ree Fiha,Mars,F/96/P,31.0,True
0427_01,Algor Efulows,Europa,E/26/P,31.0,True
0428_01,Chargin Chocaters,Europa,C/16/S,29.0,True
0429_01,Aino Ineysive,Europa,A/5/S,20.0,True
0429_02,Taurak Ineysive,Europa,A/5/S,46.0,True
0430_01,Eliana Jorden,Earth,F/75/S,29.0,True
0431_01,Fronch Melto,Mars,F/97/P,43.0,True
0432_01,Caper Knike,Mars,F/76/S,17.0,False
0433_01,Hekark Mormonized,Europa,B/20/P,27.0,True
0433_02,Naosura Mormonized,Europa,B/20/P,47.0,False
0434_01,Row Pread,Mars,F/77/S,45.0,True
0435_01,Allie Willynnedy,Earth,G/62/S,17.0,True
0436_01,Sallyl Hodes,Earth,G/63/S,10.0,True
0436_02,Lilace Hodes,Earth,G/63/S,56.0,False
0437_01,Lynnee Oneiles,Earth,F/78/S,39.0,False
0437_02,Debora Oneiles,Earth,F/78/S,40.0,False
0438_01,Dyonon Diateous,Europa,B/13/S,40.0,True
0439_01,Izarino Unciate,Europa,C/13/P,34.0,False
0441_01,Loree Hahnstonsen,Earth,F/79/S,32.0,False
0442_01,Elica Armstromez,Earth,F/98/P,35.0,False
0444_01,Camonk Curte,Mars,D/15/P,32.0,False
0444_02,Colal Curte,,F/99/P,26.0,False
0445_01,Loria Marshopper,Earth,F/80/S,25.0,False
0445_02,Rice Marshopper,,E/25/S,26.0,False
0446_01,Hadira Singmage,Europa,B/21/P,22.0,True
0447_01,Ferry Mcclayton,Earth,F/81/S,22.0,True
0448_01,Elara Hoppernardy,Earth,E/27/P,24.0,False
0448_02,,Earth,G/71/P,32.0,True
0449_01,Nathy Moongton,Earth,G/64/S,11.0,True
0452_01,Swafox Ecart,Mars,E/26/S,22.0,True
0453_01,Aldun Taptiritty,Europa,B/14/S,19.0,True
0453_02,Minopus Taptiritty,Europa,,34.0,True
0453_03,Wezena Taptiritty,Europa,B/14/S,74.0,True
0454_01,Tabius Geoconne,Europa,B/15/S,28.0,True
0454_02,Etair Fushausive,Europa,B/15/S,42.0,True
0454_03,Hallux Geoconne,Europa,B/15/S,43.0,True
0456_01,Lulah Hinetthews,Earth,F/83/S,55.0,False
0457_01,Leonyl Poperez,Earth,G/72/P,19.0,True
0457_02,Sallyl Poperez,Earth,G/72/P,6.0,False
0457_03,Joela Poperez,Earth,G/72/P,7.0,False
0458_01,Zanin Bedectical,Europa,D/16/S,28.0,True
0459_01,Hardy Nichoan,Earth,F/84/S,15.0,False
0460_01,Shawne Jenningley,Earth,G/65/S,24.0,True
0461_01,Shany Yorkland,Earth,E/27/S,31.0,True
0461_02,Warry Yorkland,Earth,F/85/S,22.0,True
0461_03,Len Yorkland,Earth,G/66/S,1.0,True
0462_01,Ronia Sosanturney,Earth,G/67/S,50.0,False
0463_01,Grats Staf,Mars,F/100/P,34.0,False
0463_02,Flamal Staf,Mars,F/100/P,14.0,False
0465_01,Deandy Chaellerty,Earth,E/28/P,19.0,False
0465_02,Kyley Chaellerty,Earth,E/28/P,,True
0466_01,Aude Beachez,Earth,F/101/P,36.0,False
0468_01,Haryn Wynneyerson,Earth,,34.0,False
0470_01,Aptal Binie,Mars,F/86/S,25.0,True
0470_02,Jurs Binie,,F/86/S,36.0,True
0471_01,Astab Fuelisent,Europa,B/22/P,16.0,False
0471_02,Izarino Fuelisent,Europa,B/22/P,30.0,True
0472_01,Stene Solinez,Earth,F/87/S,37.0,False
0474_01,Nicey Chardst,Earth,G/69/S,15.0,True
0475_01,Danie Gilesonston,Earth,E/29/P,36.0,False
0476_01,Coves Chiff,Mars,F/103/P,27.0,False
0476_02,Book Chiff,Mars,F/103/P,27.0,True
0476_03,Beah Chiff,Mars,F/103/P,12.0,True
0477_01,Benny Moongton,Earth,E/30/P,22.0,False
0480_01,Chrisa Mcdanield,Earth,G/74/P,27.0,False
0481_01,Gera Peckerson,Earth,G/70/S,13.0,True
0482_01,Anny Mallerez,Earth,E/28/S,27.0,False
0482_02,Isaacy Mallerez,Earth,F/88/S,28.0,False
0485_01,Furudah Unloweedic,Europa,B/17/S,21.0,False
0487_01,Sadirak Obeaded,Europa,C/19/S,39.0,False
0488_01,Chery Vantonson,Earth,G/76/P,28.0,False
0490_01,Hanne Kirklander,Earth,G/71/S,14.0,True
0498_01,Batomam Preent,Europa,,27.0,True
0498_02,Kastrak Preent,Europa,B/18/S,46.0,True
0499_01,Eclass Meake,Mars,F/89/S,27.0,True
0499_02,Yogark Meake,Mars,E/29/S,21.0,False
0500_01,Ots Cakie,Mars,D/19/P,21.0,True
0501_01,Hadirk Spedlybood,Europa,E/32/P,42.0,False
0502_01,Pigars Swell,Mars,,22.0,False
0503_01,Gal Fone,Mars,F/90/S,10.0,True
0503_02,Torms Fone,Mars,F/90/S,43.0,False
0503_03,Pios Fone,Mars,E/31/S,42.0,False
0504_01,Thabius Unpasine,Europa,B/19/S,18.0,True
0504_02,Mirfar Unpasine,Europa,B/19/S,54.0,True
0504_03,Sterops Unpasine,Europa,B/19/S,24.0,True
0504_04,Tauria Unpasine,Europa,B/19/S,64.0,False
